infer [ɪnfə́ːr],を（〜から）察する [= deduce]〈from〉
surmise [sərmáɪz],"推測する [= guess, conjecture]"
allude [əlúːd],（〜に）暗に言及する〈to〉
verify [vérɪfài],を検証する，を確かめる [= confirm]
vindicate [vɪ́ndɪkèɪt],の潔白を証明する，の正当性を立証する
validate [vǽlɪdèɪt],を認可する [= make valid]，を認証する
corroborate [kərɑ́(ː)bərèɪt],を確証する [= confirm]
substantiate [səbstǽnʃièɪt],"を立証する [= verify, prove, confirm]"
reiterate [ri(ː)ɪ́tərèɪt],を繰り返す [= repeat]
enunciate [ɪnʌ́nsièɪt],を発表する [= announce]，を明瞭に発音する [= articulate]
underscore [ʌ́ndərskɔ̀ːr],"を強調する [= emphasize, underline]"
flaunt [flɔːnt],"を誇示する [= show off (proudly), display ostentatiously]"
alleviate [əlíːvièɪt],"（苦痛など）を和らげる [= assuage, soften, mitigate]"
allay [əléɪ],"を和らげる [= alleviate, lessen]"
appease [əpíːz],"をなだめる [= pacify, quiet]"
defuse [dìːfjúːz],（爆弾など）から信管を除去する，（危険）を取り除く，（緊張）を和らげる
mollify [mɑ́(ː)lɪfài],"（怒りなど）を和らげる [= assuage, pacify, appease]"
placate [pléɪkeɪt],"（怒り・敵意など）をなだめる [= appease, conciliate, mollify]"
modulate [mɑ́(ː)dʒəlèɪt],を調節する [= vary the pitch of]
intervene [ìntərví:n],（〜を）調停する，（〜を）仲裁する [= interpose]〈in〉
curb [kəːrb],"を抑制する [= control, restrain]"
oppress [əprés],を抑圧する，を虐げる
subjugate [sʌ́bdʒugèɪt],を征服する [= subdue]，を隷属させる
suppress [səprés],を鎮圧する，を抑圧する [= put down]
subvert [səbvə́ːrt],を覆す，を打倒する [= overthrow]
encroach [ɪnkróʊtʃ],"（〜に）侵入する [= intrude, trespass]〈on〉"
deter [dɪtə́ːr],に（〜を）思いとどまらせる [= prevent]〈from〉
retard [rɪtɑ́ːrd],"を遅らせる [= delay]，を妨げる [= impede, obstruct, hamper]"
avert [əvə́ːrt],（視線・考えなど）を（〜から）そらす [= turn away]〈from〉
balk [bɔːk],（〜を）ためらう〈at〉，を妨げる [= resist]
stifle [stáɪfl],"を抑える [= repress, suppress, curb]，を窒息させる [= suffocate]"
quell [kwel],"を抑える，を鎮める [= soothe, suppress]"
quench [kwentʃ],"（渇き）を癒やす [= satisfy, relieve, slake]，（欲望）を抑える [= subdue, suppress]"
curtail [kəːrtéɪl],を切り詰める [= shorten]
diminish [dɪmɪ́nɪʃ],"を減らす [= reduce, lessen]"
eclipse [ɪklɪ́ps],の影を薄くさせる [= surpass]，（ほかの天体）を食にする
debase [dɪbéɪs],（品位・評判）を落とす
demean [dɪmíːn],の品位を下げる [= debase]
detract [dɪtrǽkt],（〜を）損なう，減じる〈from〉
dwindle [dwɪ́ndl],だんだん減少[縮小]する [= shrink]
deviate [díːvièɪt],（〜から）逸脱する [= diverge]〈from〉
elude [ɪlúːd],をうまくかわす，から逃れる [= evade]
circumvent [sə̀ːrkəmvént],"の抜け道を見つける，を回避する [= avoid, eschew]"
plague [pleɪg],を（〜で）絶えず苦しめる〈with〉
torment [tɔːrmént],をひどく苦しめる [= afflict]，を悩ます [= distress]
confound [kənfáʊnd],"を混乱させる [= bewilder, perplex]，を（〜と）混同する〈with〉"
stump [stʌmp],を困らせる [= puzzle]，遊説して回る
dismiss [dɪsmɪ́s],を却下する [= reject]，を解雇する [= fire]
dissect [dɪsékt],を分析する [= analyze]，を解剖する [= anatomize]
refute [rɪfjúːt],を論破する [= disprove]
rebuff [rɪbʌ́f],を拒絶する [= reject]
rebuke [rɪbjúːk],"を（〜のことで）叱責する [= blame, berate, reprimand, reproach]〈for〉"
denounce [dɪnáʊns],を公然と非難する
rebut [rɪbʌ́t],"に反論する [= refute, deny]"
reprimand [réprɪmænd],"を（〜のことで）叱責する [= blame, rebuke, berate, reproach]〈for〉"
berate [bɪréɪt],"を（〜のことで）責め立てる [= blame, rebuke, reprimand, reproach]〈for〉"
lambaste [læmbéɪst],"を厳しく非難する [= berate, rebuke]"
seclude [sɪklúːd],を引きこもらせる [= isolate]
ostracize [ɑ́(ː)strəsàɪz],を追放する [= banish from society]，を排斥する
purge [pəːrdʒ],から（〜を）追放する [= expunge]〈of〉，を清める [= cleanse]
repatriate [riːpéɪtrièɪt],を本国に送還する（⇔expatriate 国外に追放する）
repulse [rɪpʌ́ls],を撃退する，を拒絶する
rebel [rɪbél],（〜に）反逆する [= revolt]〈against〉
renege [rɪnɪ́g],（約束などを）破る [= back out]〈on〉
renounce [rɪnáʊns],を放棄する [= abandon]，と関係を絶つ [= disown]
revel [révəl],（〜を）大いに楽しむ [= delight]〈in〉
suspend [səspénd],を一時停止[中止]にする [= intermit]，をつるす [= hang (up)]
abort [əbɔ́ːrt],を中止する [= terminate]（⇔continue）
adjourn [ədʒə́ːrn],"を休会[閉会]する [= postpone, temporarily suspend]"
nullify [nʌ́lɪfài],"を無効にする [= annul, make void]"
revoke [rɪvóʊk],"を取り消す [= cancel, repeal, annul]"
thwart [θwɔːrt],"（計画などを）阻止する，を挫折させる [= foil, frustrate, baffle, prevent]"
disband [dɪsbǽnd],（軍隊・組織などが）解散する [= dissolve]
dislodge [dɪslɑ́(ː)dʒ],（敵）を退陣させる，を（〜から）除去する [= remove]〈from〉
disperse [dɪspə́ːrs],分散する，を分散させる [= scatter]，（知識など）を広める
eradicate [ɪrǽdɪkèɪt],"を根絶する [= exterminate, wipe out, root out]"
rout [raʊt],を完敗させる [= defeat overwhelmingly]
wreak [riːk],（破壊・損害）を引き起こす
contaminate [kəntǽmɪnèɪt],を汚染する [= pollute]
exacerbate [ɪgzǽsərbèɪt],を悪化させる [= aggravate]，をいらだたせる [= irritate]
aggravate [ǽgrəvèɪt],を悪化させる [= worsen]
abdicate [ǽbdɪkèɪt],（王位など）を退く [= resign]（⇔be enthroned）
abscond [əbskɑ́(ː)nd],逃亡する
tamper [tǽmpər],（〜を）改ざんする〈with〉
juggle [dʒʌ́gl],を改ざんする [= tamper with]
cajole [kədʒóʊl],"（人）を言いくるめる [= coax, wheedle]"
defraud [dɪfrɔ́ːd],（人）からだまし取る [= swindle]
swindle [swɪ́ndl],（人）から（〜を）だまし取る〈out of〉
dupe [djuːp],"をだます [= deceive, cheat, trick, fool]"
mutter [mʌ́tər],つぶやく，ぶつぶつ不平を言う
stammer [stǽmər],（〜を）口ごもりながら言う [= stutter]〈out〉
invoke [ɪnvóʊk],（神の加護など）を祈願する，（法など）を発動する
crunch [krʌntʃ],をぼりぼりかむ
dawdle [dɔ́ːdl],"ぐずぐずする [= idle, waste time]"
undermine [ʌ̀ndərmáɪn],を衰えさせる [= weaken]，の下を掘る [= excavate beneath]
diagnose [dàɪəgnóʊs],を診断する，の原因を究明する
blur [blə́ːr],を不明瞭にさせる [= make vague]
squabble [skwɑ́(ː)bl],"（〜のことで）口げんかする [= brawl, quarrel, wrangle]〈over〉"
vie [vaɪ],（〜を得ようと）競う [= compete]〈for〉
bluff [blʌf],虚勢を張る [= pretend to be strong]
broach [broʊtʃ],"（話題）を切り出す [= introduce, bring up]"
clench [klentʃ],を握り締める，（歯）をくいしばる
perish [périʃ],死ぬ，滅びる
ransack [rǽnsæk],"（場所）を徹底的に捜す [= rummage]，を略奪する [= plunder, rob]"
heave [hiːv],"を（〜に）投げる〈at, onto〉"
